grid_id,lte_min_rsrp,lte_mean_rsrp,lte_median_rsrp,lte_point_count,lte_signal_class,nr_min_rsrp,nr_mean_rsrp,nr_median_rsrp,nr_point_count,nr_signal_class,VV,VH,NDVI,NDBI,population,nightlight,tree_ratio,grass_ratio,crop_ratio,builtup_ratio,water_ratio,cell_count,operator_count,gsm_count,umts_count,lte_count,nr_count
96292,-91.43,-83.1119,-83.1,510.0,Good,-126.72,-95.19807,-93.17,905.0,Good,-13.103157415631223,-20.54243767792637,0.495672089180473,0.0099872459140088,33.15727428818011,1.4264975731559373,0.0837212073587849,0.1888700076455606,0.6926123275933429,0.03479645740231157,0.0,12,3,0,0,12,0
96293,-88.49,-77.387245,-76.51,504.0,Excellent,-129.66,-91.50863,-87.53,928.0,Excellent,-12.708621929366137,-20.5521923418402,0.3260415044951439,0.0704184179365173,37.22340526870799,1.2180672904402472,0.011404122510430824,0.2416676129807429,0.6966976691368515,0.05023059537197469,0.0,6,3,1,0,5,0
96294,-89.12,-73.43713,-72.05,450.0,Excellent,-132.95,-93.269325,-93.44,931.0,Good,-12.021458064430488,-19.8739876383923,0.4218145437224204,0.0026439157277596,47.50414061650048,1.3994128725944306,0.12038549182513542,0.11238009238051243,0.7106823636049301,0.05655205218942208,0.0,4,2,0,0,4,0
96295,-88.93,-72.76783,-72.49,456.0,Excellent,-137.72,-87.691086,-86.1,1041.0,Excellent,-13.006218851375024,-19.876019373006027,0.6442939572479899,-0.1379910630533862,40.486026272747445,1.174871655140063,0.09031737050588363,0.5839323779063847,0.283551644654826,0.04219860693290562,0.0,4,3,0,0,4,0
96364,-64.03,-62.25647,-60.68,34.0,Excellent,-101.36,-81.00375,-80.285,16.0,Excellent,-10.88813567908788,-19.28911841511302,0.4310328452051014,0.0027630748572969,149.58095555125794,7.67546121041514,0.08109859008361005,0.10841897212925299,0.7406723149309161,0.06981012285622087,0.0,15,4,0,1,14,0
96365,-66.58,-63.272648,-61.49,117.0,Excellent,-114.79,-87.22,-87.61,142.0,Excellent,-8.454806773878506,-16.813915236789022,0.4023648083073728,0.0191366702541906,3365.8930850056468,13.110190041879433,0.12440806196096538,0.24004963912696695,0.20648801955273488,0.4277920482124906,0.0,16,3,0,0,15,1
96367,-54.74,-48.34669,-49.44,1342.0,Excellent,-105.39,-72.71715,-73.22,2551.0,Excellent,-4.576807749650819,-11.284949877985138,0.2493832405797536,0.0250868747688494,3136.550096894713,75.60716486647132,0.08813139974261784,0.07430565937808109,0.0003114675765917092,0.837189179787391,0.0,9,4,0,0,9,0
96368,-74.93,-48.926342,-45.57,3527.0,Excellent,-115.01,-72.22873,-69.54,5667.0,Excellent,-5.360364565896004,-13.78987964448762,0.3199927346451408,-0.0021293138560575,4434.801623315437,55.31619612200908,0.12420276359002874,0.16492154910350906,6.229363705919313e-05,0.7105019254841071,0.0,39,4,0,3,34,2
96369,-78.44,-57.910286,-56.13,3284.0,Excellent,-120.91,-77.70408,-78.11,4981.0,Excellent,-5.413683438215951,-13.254893119580156,0.3137814431231492,-0.0072160568473995,6957.911674484554,27.870617546291523,0.14508974866660138,0.07194624045465396,0.0007475289404852149,0.774305133984791,0.0,30,4,0,3,26,1
96370,-67.96,-60.118034,-61.06,473.0,Excellent,-113.64,-74.82064,-73.075,766.0,Excellent,-5.169890484097726,-13.108700270149004,0.2849768485224666,0.0056836178861467,6083.052463587594,28.62443065993497,0.1031807436010252,0.11606163263301879,0.003782719830280863,0.7310140273824551,0.0,30,4,0,9,18,3
96371,-69.59,-53.079082,-54.03,849.0,Excellent,-117.23,-75.54657,-71.89,1292.0,Excellent,-8.792853776948274,-15.768593012650353,0.4407660361921114,-0.0476805092997996,4827.271111564689,11.147425168603569,0.1941864146584805,0.2902102207156279,0.03522171723735604,0.4104617370545648,0.0457359288534846,4,3,0,0,4,0
96376,-69.72,-52.224728,-50.56,1762.0,Excellent,-122.61,-80.133766,-76.27,2306.0,Excellent,-8.203078910292326,-15.55790976443286,0.501986236496138,-0.1188913187973551,163.1786075626518,17.81744339794194,0.48267591959664446,0.18383797567807775,0.00043608251805039595,0.19031105265189474,0.142161435060839,25,4,0,4,21,0
96377,-66.95,-54.678062,-57.08,299.0,Excellent,-119.45,-86.62117,-88.55,428.0,Excellent,-6.378481805840409,-13.59483431245556,0.475359757313831,-0.1160852500821342,2014.9880876205136,16.631489713550053,0.48116951080551246,0.050142239517470384,0.0010591004950775648,0.4172509024953239,0.050191346599249065,25,4,0,2,22,1
96378,-77.42,-57.25567,-57.6,1561.0,Excellent,-127.85,-89.0312,-89.51,2544.0,Excellent,-6.165193899317007,-14.409247525791862,0.356902733406513,-0.0035575190252252,4755.750447280033,26.23516513432733,0.20819304824422635,0.14526258852283314,0.00011653607866600636,0.6464278271542745,0.0,15,4,0,0,14,1
96379,-72.86,-57.994858,-57.77,494.0,Excellent,-126.15,-90.8567,-92.09,687.0,Good,-7.634820478278319,-15.483336334419748,0.4988315860797314,-0.0702713664635335,479.6599680746304,29.04311339527095,0.3355425032084554,0.3624954832423711,0.00018690031567829786,0.2923570475222759,0.009407315889140993,5,1,0,0,4,1
