grid_id,lte_min_rsrp,lte_mean_rsrp,lte_median_rsrp,lte_point_count,lte_signal_class,nr_min_rsrp,nr_mean_rsrp,nr_median_rsrp,nr_point_count,nr_signal_class,VV,VH,NDVI,NDBI,population,nightlight,tree_ratio,grass_ratio,crop_ratio,builtup_ratio,water_ratio,cell_count,operator_count,gsm_count,umts_count,lte_count,nr_count,nearest_lte_distance_m,nearest_nr_distance_m,lte_density_3km,nr_density_3km,lte_density_5km,nr_density_5km,pop_x_lte,pop_x_nr,builtup_x_lte,builtup_x_nr,nightlight_x_lte,nightlight_x_nr,vv_x_ndvi,vh_x_builtup,ndvi_minus_ndbi,longitude,latitude,distance_to_london_km
91748,-86.54,-64.25676,-66.63,842.0,Excellent,-127.24,-88.88565,-88.84,1173.0,Excellent,-11.734346141065023,-18.16817993023979,0.6531989110157949,-0.1143437089886709,133.30514104375072,6.982691845272404,0.29871610190845244,0.5191939563279399,0.11653072656843988,0.06531089313411412,0.0002483220610536305,16,4,0,1,14,1,321.2679200014315,502.7298117680781,167,11,340,18,1866.2719746125101,133.30514104375072,0.9143525038775977,0.06531089313411412,97.75768583381365,6.982691845272404,-7.664862120826068,-1.186580057865248,0.7675426200044657,-0.18618731807474231,51.680250233455155,19.648927318571996
91749,-63.88,-61.710434,-60.84,23.0,Excellent,-95.88,-87.33363,-87.29,33.0,Excellent,-11.568493324375494,-17.7925548097665,0.5766605881887741,-0.054646368518344,65.05868780531135,7.597703943008628,0.22526405073201894,0.6834648636752277,0.05483033170186368,0.03321254744927869,0.0032282064416108503,3,2,0,1,2,0,589.0804064846537,717.3390425128467,142,11,322,16,130.1173756106227,0.0,0.06642509489855739,0.0,15.195407886017255,0.0,-6.671094164892279,-0.5909360708632617,0.6313069567071181,-0.17173138446967637,51.6800261025666,19.442809747363565
91756,-77.48,-76.33778,-77.48,9.0,Excellent,-105.76,-85.09762,-89.36,21.0,Excellent,-10.851853481173451,-17.4283776023866,0.6681779907373924,-0.1370830124831709,23.81375631309461,4.708298800340513,0.39950160632743253,0.5220672502766488,0.013100181510739082,0.06526887571688221,6.208616829734163e-05,1,1,0,1,0,0,606.0447760760748,2234.0030969398204,197,2,375,7,0.0,0.0,0.0,0.0,0.0,0.0,-7.2509696548270535,-1.1375306116770645,0.8052610032205633,-0.07054520123199562,51.67840740079749,19.432457219397918
91757,-88.29,-52.94738,-52.3,2283.0,Excellent,-126.14,-67.19963,-64.15,4079.0,Excellent,-8.94747605253637,-16.658448336867316,0.5622002360536592,-0.110796912792646,1645.5193715943426,14.977596019665745,0.3636244333094727,0.36875690863317406,5.4295161156803466e-05,0.2668193261556592,0.0,24,4,0,2,22,0,70.21499107986999,1319.5123631737283,225,4,397,7,36201.42617507554,0.0,5.870025175424502,0.0,329.5071124326464,0.0,-5.03027314882041,-4.444795960041799,0.6729971488463052,-0.05609081456891435,51.678169046129675,19.635755643350752
91759,-89.75,-63.551914,-64.26,658.0,Excellent,-126.21,-90.29754,-89.62,1159.0,Excellent,-5.485617450284062,-14.739880549840915,0.339270168228211,-0.0257435212698387,3556.124010028091,40.25268586360201,0.18986688067177865,0.16943453807790326,0.0,0.6380563063616932,0.0026422748886248994,28,4,0,0,28,0,47.234782556966664,1114.3603346456368,252,2,394,7,99571.47228078655,0.0,17.86557657812741,0.0,1127.0752041808564,0.0,-1.8611063551934834,-9.404873739844058,0.3650136894980497,-0.027182642850561992,51.677687003690096,20.185339033285576
91760,-89.28,-75.17973,-76.2,828.0,Excellent,-137.99,-93.64735,-93.62,1361.0,Good,-8.538248366795123,-16.051315605632446,0.5641102661070194,-0.1269810864480815,874.955400359806,27.67895035397504,0.4282459210424756,0.32713350132323094,0.00012417844393696313,0.23469920693802007,0.009797192252336443,27,4,1,2,24,0,119.95001002972421,1998.0345329506056,242,2,396,6,20998.929608635346,0.0,5.632780966512482,0.0,664.294808495401,0.0,-4.816513558280621,-3.7672310429538003,0.6910913525551009,-0.012728860760514526,51.67744331603354,20.527796228293305
91761,-96.77,-92.05117,-92.71,469.0,Poor,-130.34,-104.612915,-103.92,556.0,Poor,-7.902590349480913,-16.057585366239344,0.4349061343460999,-0.0463794543544748,1069.6939452983877,19.835381559722656,0.257765033045051,0.2223868746026571,0.19777285876762157,0.32207523358467033,0.0,17,4,1,1,15,0,94.65008988805087,2956.769357642688,183,1,390,5,16045.409179475815,0.0,4.831128503770055,0.0,297.53072339583986,0.0,-3.4368850202135386,-5.171750557637321,0.4812855887005747,0.0017247168401845383,51.67719785083002,20.912506403871905
91762,-101.18,-87.50609,-86.47,225.0,Good,-134.26,-98.46399,-97.39,311.0,Good,-10.984105049185324,-18.656826337852927,0.4339123435795328,-0.00811031146533,330.8723050003396,7.956042604620864,0.282296173053028,0.18706821174008736,0.4683229674526036,0.06231264775428102,0.0,20,4,2,1,17,0,86.15903387770283,3936.0929960719122,139,0,356,2,5624.829185005774,0.0,1.0593150118227772,0.0,135.2527242785547,0.0,-4.766138764015783,-1.1625562478034221,0.44202265504486277,0.016178088469251947,51.676950608138156,21.337184214268625
91763,-87.93,-74.27066,-71.99,472.0,Excellent,-132.52,-90.13284,-90.905,636.0,Good,-11.03801717603382,-17.72880155533129,0.5430936055237849,-0.061273593184962,339.0888791550316,10.228488681811813,0.37446522846706054,0.4040691091613272,0.08591456219712512,0.13555110017448707,0.0,22,4,2,1,19,0,51.40356084970054,4923.735483670703,124,0,273,1,6442.6887039456,0.0,2.5754709033152543,0.0,194.34128495442445,0.0,-5.994676545965675,-2.403158555600314,0.6043671987087469,0.030631252644539003,51.67670158801707,21.799493945853072
91764,-71.91,-67.09227,-66.48,75.0,Excellent,-110.99,-82.54339,-79.89,136.0,Excellent,-9.0671616946949,-15.486445123733017,0.7367283215832088,-0.243740162575612,167.3326776448564,5.842277783278861,0.7944294828089996,0.08814381026590049,0.004976137138404598,0.11245056978669526,0.0,13,4,0,0,13,0,194.79963885271366,5857.986812631878,113,0,247,0,2175.3248093831335,0.0,1.4618574072270385,0.0,75.94961118262519,0.0,-6.6800348168561365,-1.7414595781341662,0.9804684841588208,0.04508420788403167,51.67645079052629,22.297094931782826
